
        NUM=6
        return (md5_hash[:NUM], md5_hash[-NUM:])

/Users/me/.virtualenvs/36_bloom_filter/bin/python3 -m cProfile -s cumulative /Users/me/workspace/in_github/semantic_machines/bloom_filter.py ./wordlist.txt
Num false positives:  175
Percent false positives: 0.000516
elements in bitvector: 16777195
sys.getsizeof bitvector: 18842978
num bits set in vector: 664431
         25950133 function calls (25949968 primitive calls) in 15.953 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     11/1    0.001    0.000   15.953   15.953 {built-in method builtins.exec}
        1    1.023    1.023   15.953   15.953 bloom_filter.py:1(<module>)
   677764    0.864    0.000    6.698    0.000 bloom_filter.py:73(__indexes)
        1    0.000    0.000    5.094    5.094 bloom_filter.py:24(num_set)
        1    2.527    2.527    5.094    5.094 {built-in method builtins.sum}
   338882    0.637    0.000    4.856    0.000 bloom_filter.py:54(add)
   338882    0.689    0.000    4.840    0.000 bloom_filter.py:63(__contains__)
   677764    1.880    0.000    4.714    0.000 bloom_filter.py:81(hash)
 16777196    2.567    0.000    2.567    0.000 bloom_filter.py:26(<genexpr>)
  1355528    1.493    0.000    1.493    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
   677764    1.120    0.000    1.120    0.000 bloom_filter.py:78(<listcomp>)
   677764    0.658    0.000    0.829    0.000 bloom_filter.py:16(set)
   338882    0.148    0.000    0.746    0.000 {built-in method builtins.all}
   684411    0.438    0.000    0.694    0.000 bloom_filter.py:70(<genexpr>)
   677765    0.571    0.000    0.571    0.000 {built-in method _hashlib.openssl_md5}
   677765    0.444    0.000    0.444    0.000 {built-in method _hashlib.openssl_sha1}
   677779    0.326    0.000    0.326    0.000 {method 'encode' of 'str' objects}
   345529    0.256    0.000    0.256    0.000 bloom_filter.py:28(__contains__)
678230/678213    0.143    0.000    0.143    0.000 {built-in method builtins.len}
   338882    0.100    0.000    0.100    0.000 {method 'strip' of 'str' objects}
     14/3    0.000    0.000    0.034    0.011 <frozen importlib._bootstrap>:958(_find_and_load)
     14/3    0.000    0.000    0.034    0.011 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
     14/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap>:641(_load_unlocked)
      9/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap_external>:672(exec_module)
     19/3    0.000    0.000    0.030    0.010 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
       12    0.014    0.001    0.027    0.002 bloom_filter.py:38(__grow)
        1    0.000    0.000    0.018    0.018 __init__.py:24(<module>)
       12    0.013    0.001    0.013    0.001 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.011    0.011 hashlib.py:54(<module>)
       14    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:553(module_from_spec)
        3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap_external>:919(create_module)
        3    0.010    0.003    0.010    0.003 {built-in method _imp.create_dynamic}
        9    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:743(get_code)
       13    0.000    0.000    0.007    0.001 re.py:286(_compile)
    69/67    0.002    0.000    0.007    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.007    0.007 traceback.py:1(<module>)
       12    0.000    0.000    0.007    0.001 re.py:231(compile)
        7    0.000    0.000    0.007    0.001 sre_compile.py:557(compile)
        1    0.000    0.000    0.006    0.006 linecache.py:6(<module>)
        1    0.000    0.000    0.005    0.005 string.py:15(<module>)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
        7    0.000    0.000    0.004    0.001 sre_compile.py:542(_code)
        1    0.000    0.000    0.004    0.004 string.py:65(__init__)
     37/7    0.000    0.000    0.004    0.001 sre_compile.py:64(_compile)
      424    0.002    0.000    0.004    0.000 latin_1.py:25(decode)
        9    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       14    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:861(_find_spec)
        9    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        9    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
       51    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       14    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      424    0.002    0.000    0.002    0.000 {built-in method _codecs.latin_1_decode}
       14    0.002    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
        7    0.000    0.000    0.002    0.000 sre_parse.py:845(parse)
       14    0.000    0.000    0.002    0.000 hashlib.py:116(__get_openssl_constructor)
        8    0.000    0.000    0.002    0.000 hashlib.py:73(__get_builtin_constructor)
     15/7    0.000    0.000    0.002    0.000 sre_parse.py:407(_parse_sub)
     20/8    0.001    0.000    0.002    0.000 sre_parse.py:469(_parse)
      147    0.000    0.000    0.001    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.001    0.001 argparse.py:1600(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:359(namedtuple)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       75    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      328    0.000    0.000    0.001    0.000 enum.py:265(__call__)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      328    0.000    0.000    0.001    0.000 enum.py:515(__new__)
        3    0.000    0.000    0.001    0.000 argparse.py:1303(add_argument)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      327    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 argparse.py:1222(__init__)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        3    0.000    0.000    0.000    0.000 argparse.py:2348(_get_formatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1729(parse_args)
        3    0.000    0.000    0.000    0.000 argparse.py:157(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1736(parse_known_args)
       12    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      394    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:146(__enter__)
        1    0.000    0.000    0.000    0.000 argparse.py:1771(_parse_known_args)
       17    0.000    0.000    0.000    0.000 enum.py:795(__or__)
        1    0.000    0.000    0.000    0.000 argparse.py:1916(consume_positionals)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.000    0.000 argparse.py:2067(_match_arguments_partial)
        7    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.000    0.000 re.py:169(match)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(cached)
       12    0.000    0.000    0.000    0.000 __init__.py:1877(debug)
